Round Number, Total Energy Consumption
1799,23.065596
1800,23.069236
1801,23.072877
1802,23.076517
1803,23.080158
1804,23.083798
1805,23.087439
1806,23.091079
1807,23.094720
1808,23.098360
1809,23.102001
1810,23.105641
1811,23.109282
1812,23.112922
1813,23.116563
1814,23.120203
1815,23.123844
1816,23.127484
1817,23.131125
1818,23.134765
1819,23.138406
1820,23.142046
1821,23.145687
1822,23.149327
1823,23.152968
1824,23.156608
1825,23.160249
1826,23.163889
1827,23.167530
1828,23.171170
1829,23.174811
1830,23.178451
1831,23.182092
1832,23.185732
1833,23.189373
1834,23.193013
1835,23.196654
1836,23.200294
1837,23.203935
1838,23.207575
1839,23.211216
1840,23.214856
1841,23.218497
1842,23.222137
1843,23.225778
1844,23.229418
1845,23.233059
1846,23.236699
1847,23.240340
1848,23.243980
1849,23.247621
1850,23.251261
1851,23.254902
1852,23.258542
1853,23.262183
1854,23.265823
1855,23.269464
1856,23.273104
1857,23.276475
1858,23.279846
1859,23.283217
1860,23.286588
1861,23.289959
1862,23.293330
1863,23.296701
1864,23.300072
1865,23.303443
1866,23.306814
